id,obs_consumption_ele_last_12m,obs_consumption_gas_last_12m,obs_consumption_ele_last_01m,current_paid_cosnumption
f180823ca152606edb777451e476bfcf,-276823,0,-44654,0
f18082317861945a3c0fcf01ba4bc7af,-12524,0,-3368,330.52
f180823f9a9e331d126c4972dfad8c80,-11076,0,-2066,0
f18082330d2e631c2ec6c8db2e9956b0,-10932,0,0,0
9f820242711ce3fbc41233ce002e962c,10263,26555,1312,191.36
a1f86537c79aef06f7329a74d1ae5964,5029,0,0,0
87dd40a87acfe50e5a95b69eece63129,1219,0,0,0
f18082309974c59ca76a2a847b0a39cd,-9504,0,-3125,282.38
20f193a40a42ee869aebc01a1ba67080,6305,2572,463,67.43
ed8f613710f62e966b3f8ec74aa30d4c,9533,0,974,137.87
b93e91003dde7cca38f38741c93fdc55,8740,0,871,125.37
dd9d034ee44a72672bdedb0b114b3065,23185,0,2096,216.42
f180823f86cec4b3aa514a17abd389ce,-14727,0,-1306,96.33
bfc91735bb7c01579910302ed6bf3f45,7038,0,690,101.1
f180724cbad2e9067b24cb2015a5ada3,-13213,0,-922,87.33
f180823a5afd5490d8b22968081633ed,-289269,0,-17845,0
f18082321a24061f42a7ea3e06d9b8d6,-5372,0,0,0
f180724a607a0bd561c6b2c0052c3cf1,-41100,0,-1505,0
2210d8be8417668afb9ddab002e031f4,121885,0,0,0
f1808237abe0f087ed58ded924f8149b,-368538,0,-28202,2254.03
66fb0c9c1a1038b91b94986340cabff7,16079,1135,2500,361.06
f1808233821c4235179cdaab9a8d7daa,-1298,0,-127,18.2
8a1437e3621aa462de87d390d7615d39,53228,0,3840,67.3
f81a41be910d40f9117a1733e04ff7d5,39653,0,0,0
035ccc0d1f0b0c03c52e7a10bceb760d,615519,0,62151,383.12
edf2007a9c5da05c5ca61898473b29e1,37246,0,4016,421.7
e1c44704bb085b1b29b54b2ddca03f84,12686,0,980,96.36
f180823ebb05f56353599b0d1e4fae89,-45231,0,-6830,972.78
