id,forecast_ele_bill_next_01m,forecast_ele_bill_next_calyear,forecast_ele_bill_next_12m,forecast_consumption_ele_next_01m,forecast_consumption_ele_next_12m,forecast_consumption_ele_next_calyear,forecast_discount_value,forecast_meter_rental_next_12m,forecast_price_period1_ele,forecast_price_period2_ele,forecast_price_period1_gas
f180823ca152606edb777451e476bfcf,,,,,267.66,0,0,130.67,0.11691,0.100572,40.606701
f18082317861945a3c0fcf01ba4bc7af,679.27,679.27,2521.4,330.52,1235.03,3368,24,146.89,0.114586,0.097701,40.606701
f180823f9a9e331d126c4972dfad8c80,0,0,0,0,0,420,0,0,0.0006,0,0
f18082330d2e631c2ec6c8db2e9956b0,,,,,1119.53,0,0,45.79,0.114025,0.097683,40.606701
9f820242711ce3fbc41233ce002e962c,,,,,1543.63,1312,0,18.52,0.144058,0,44.31137796
a1f86537c79aef06f7329a74d1ae5964,0,0,1162.14,0,758.55,0,0,23.17,0.145711,0,44.31137796
87dd40a87acfe50e5a95b69eece63129,,,,,181.18,0,0,16.07,0.146694,0,44.31137796
f18082309974c59ca76a2a847b0a39cd,,,,,880.58,3125,0,16.16,0.162326,0.085068,44.31137796
20f193a40a42ee869aebc01a1ba67080,,,,,937.49,463,0,13.83,0.144328,0,44.31137796
ed8f613710f62e966b3f8ec74aa30d4c,202.25,202.25,2037.1,137.87,1379.58,974,0,9.79,0.140621,0,44.31137796
b93e91003dde7cca38f38741c93fdc55,,,,,1286.79,871,0,16.61,0.143459,0,45.30837756
dd9d034ee44a72672bdedb0b114b3065,,,,,2379.92,1499,0,15.09,0.142819,0,44.31137796
f180823f86cec4b3aa514a17abd389ce,,,,,1105.95,972,0,143.3,0.115182,0.098841,40.606701
bfc91735bb7c01579910302ed6bf3f45,,,,,1046.19,690,0,13.89,0.144902,0,44.31137796
f180724cbad2e9067b24cb2015a5ada3,,,,,1258.9,922,0,132.53,0.115237,0.100123,40.606701
f180823a5afd5490d8b22968081633ed,,,,,2460.95,0,0,16.63,0.142819,0,44.31137796
f18082321a24061f42a7ea3e06d9b8d6,0,0,1271.22,0,700.5,0,0,15.47,0.164057,0.086803,44.31137796
f180724a607a0bd561c6b2c0052c3cf1,,,,,317.84,0,0,0,0.144963,0,44.31137796
2210d8be8417668afb9ddab002e031f4,,,,,2286.92,0,0,19.78,0.143478,0,44.31137796
f1808237abe0f087ed58ded924f8149b,3154.46,3154.46,41424.99,2254.03,30841.78,28202,0,346.07,0.095022,0.086748,58.99595196
66fb0c9c1a1038b91b94986340cabff7,,,,,2075.33,2500,0,19.49,0.142819,0,44.31137796
f1808233821c4235179cdaab9a8d7daa,,,,,190.58,127,0,19.37,0.141434,0,44.31137796
8a1437e3621aa462de87d390d7615d39,,,,,1388.11,698,0,129.61,0.116509,0.101397,40.606701
f81a41be910d40f9117a1733e04ff7d5,0,0,900.09,0,521.82,0,0,16.11,0.138847,0,44.31137796
035ccc0d1f0b0c03c52e7a10bceb760d,,,,,3275.26,4215,0,132.56,0.115491,0.097963,40.728885
edf2007a9c5da05c5ca61898473b29e1,610.84,610.84,5739.17,421.7,4034.38,4016,0,146.95,0.116902,0.100015,40.606701
e1c44704bb085b1b29b54b2ddca03f84,,,,,1307.57,980,0,132.41,0.115174,0.098837,40.606701
f180823ebb05f56353599b0d1e4fae89,,,,,6556.97,6830,0,19.79,0.141083,0,44.31137796
f1807243efef20bdd722d0c41753e66a,0,0,2350.23,0,1913.36,0,0,8.54,0.144631,0,44.31137796
11f5ee4f3327053c322d5b47ca135d67,561.37,561.37,16669.87,0,11322.87,0,0,161.66,0.109966,0.093629,40.606701
f180823d574c35129010889dec0313e8,,,,,552,323,0,16.11,0.146348,0,45.80687796
f44ee4ee95d02662d049b21c79d1a880,,,,,846.31,1573,0,9.86,0.165214,0.087961,44.31137796
f180724c6377f33a599394a4c87a3a68,,,,,1774.73,0,0,12.56,0.143166,0,44.31137796
f54d94a3c6b61032eae5fb5f42337144,,,,,354.39,402,0,17.87,0.141434,0,44.31137796
f180724d7a6e483fba74b6140774db58,,,,,1179.57,0,0,15.07,0.144902,0,44.31137796
d5b324bb2039f6d8e000988f3043e8ca,,,,,4743.97,5384,0,133.45,0.115237,0.100123,40.606701
f180823fa50dc8cc9b84d69cd6ab0143,488.23,488.23,5904.26,283.25,4046,2900,0,146.62,0.115174,0.098837,40.606701
