id,also_gas_client,customer_signup_campaign_ele,company_activity_category,customer_signup_campaign_ele_discount,customer_signup_campaign_sales_channel
f180823ca152606edb777451e476bfcf,f,lxidpiddsbxsbosboudacockeimpuepw,apdekpcbwosbxepsfxclislboipuxpop,,foosdfpfkusacimwkcsosbicdxkicaua
f18082317861945a3c0fcf01ba4bc7af,f,lxidpiddsbxsbosboudacockeimpuepw,xcswxcciuaxpacidfbixxmwkdmmskxkc,,foosdfpfkusacimwkcsosbicdxkicaua
f180823f9a9e331d126c4972dfad8c80,f,lxidpiddsbxsbosboudacockeimpuepw,,,
f18082330d2e631c2ec6c8db2e9956b0,f,ldkssxwpmemidmecebumciepifcamkci,uliuakkedkcxlkudmkdfefppluxdcefp,,
9f820242711ce3fbc41233ce002e962c,t,lxidpiddsbxsbosboudacockeimpuepw,fcbfabofwcdaosksieduepeeusawfdsi,,foosdfpfkusacimwkcsosbicdxkicaua
a1f86537c79aef06f7329a74d1ae5964,f,lxidpiddsbxsbosboudacockeimpuepw,,,foosdfpfkusacimwkcsosbicdxkicaua
87dd40a87acfe50e5a95b69eece63129,f,ldkssxwpmemidmecebumciepifcamkci,sffadmsbuamddwapeumdfibkmpkdicmc,,usilxuppasemubllopkaafesmlibmsdf
f18082309974c59ca76a2a847b0a39cd,f,kamkkxfxxuwbdslkwifmmcsiusiuosws,,,
20f193a40a42ee869aebc01a1ba67080,t,lxidpiddsbxsbosboudacockeimpuepw,,,foosdfpfkusacimwkcsosbicdxkicaua
ed8f613710f62e966b3f8ec74aa30d4c,f,lxidpiddsbxsbosboudacockeimpuepw,sxublbwoeuckkocekklxkllcdxxaisop,,ewpakwlliwisiwduibdlfmalxowmwpci
b93e91003dde7cca38f38741c93fdc55,f,ldkssxwpmemidmecebumciepifcamkci,,,foosdfpfkusacimwkcsosbicdxkicaua
dd9d034ee44a72672bdedb0b114b3065,f,lxidpiddsbxsbosboudacockeimpuepw,,,foosdfpfkusacimwkcsosbicdxkicaua
f180823f86cec4b3aa514a17abd389ce,f,ldkssxwpmemidmecebumciepifcamkci,kkklcdamwfafdcfwofuscwfwadblfmce,,
bfc91735bb7c01579910302ed6bf3f45,f,lxidpiddsbxsbosboudacockeimpuepw,,,foosdfpfkusacimwkcsosbicdxkicaua
f180724cbad2e9067b24cb2015a5ada3,f,kamkkxfxxuwbdslkwifmmcsiusiuosws,,,
f180823a5afd5490d8b22968081633ed,f,ldkssxwpmemidmecebumciepifcamkci,okxcpskmecbumwcifxfxdofxocupwwom,,lmkebamcaaclubfxadlmueccxoimlema
f18082321a24061f42a7ea3e06d9b8d6,f,lxidpiddsbxsbosboudacockeimpuepw,,,foosdfpfkusacimwkcsosbicdxkicaua
f180724a607a0bd561c6b2c0052c3cf1,f,kamkkxfxxuwbdslkwifmmcsiusiuosws,,,foosdfpfkusacimwkcsosbicdxkicaua
2210d8be8417668afb9ddab002e031f4,f,kamkkxfxxuwbdslkwifmmcsiusiuosws,saxlifeumaobawxpemwuopbwwldlucff,,
f1808237abe0f087ed58ded924f8149b,f,lxidpiddsbxsbosboudacockeimpuepw,,,foosdfpfkusacimwkcsosbicdxkicaua
66fb0c9c1a1038b91b94986340cabff7,t,kamkkxfxxuwbdslkwifmmcsiusiuosws,,,
f1808233821c4235179cdaab9a8d7daa,f,ldkssxwpmemidmecebumciepifcamkci,,,
8a1437e3621aa462de87d390d7615d39,f,lxidpiddsbxsbosboudacockeimpuepw,,,foosdfpfkusacimwkcsosbicdxkicaua
f81a41be910d40f9117a1733e04ff7d5,f,lxidpiddsbxsbosboudacockeimpuepw,,,foosdfpfkusacimwkcsosbicdxkicaua
035ccc0d1f0b0c03c52e7a10bceb760d,f,lxidpiddsbxsbosboudacockeimpuepw,apdekpcbwosbxepsfxclislboipuxpop,,foosdfpfkusacimwkcsosbicdxkicaua
edf2007a9c5da05c5ca61898473b29e1,f,lxidpiddsbxsbosboudacockeimpuepw,daobdssbkieoukwxbopxiiospudkopwl,,foosdfpfkusacimwkcsosbicdxkicaua
e1c44704bb085b1b29b54b2ddca03f84,f,kamkkxfxxuwbdslkwifmmcsiusiuosws,ubaiusclasemueafdkuxwdemkfciboow,,
f180823ebb05f56353599b0d1e4fae89,f,lxidpiddsbxsbosboudacockeimpuepw,,,ewpakwlliwisiwduibdlfmalxowmwpci
